"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 04 23:36:36 UTC 2021","Thu Nov 04 23:36:36 UTC 2021","551","","qa.search.SearchTests","","qa.search.SearchTests","searchForExactTitle","searchForExactTitle()",""
"passed","Thu Nov 04 23:36:36 UTC 2021","Thu Nov 04 23:36:37 UTC 2021","791","","qa.search.SearchTests","","qa.search.SearchTests","searchForPartialTitle","searchForPartialTitle()",""
